
2022/12/25 (14:07:27) | ===> btop++ v.1.2.13
2022/12/25 (14:07:27) | INFO: Logger set to INFO

2022/12/25 (21:17:15) | ===> btop++ v.1.2.13
2022/12/25 (21:17:15) | ERROR: Failed to get size of terminal!

2022/12/25 (23:04:44) | ===> btop++ v.1.2.13
2022/12/25 (23:04:44) | ERROR: Failed to get size of terminal!

2022/12/26 (09:11:04) | ===> btop++ v.1.2.13
2022/12/26 (09:11:04) | ERROR: Failed to get size of terminal!

2022/12/26 (11:00:28) | ===> btop++ v.1.2.13
2022/12/26 (11:00:28) | ERROR: Failed to get size of terminal!

2022/12/26 (14:16:34) | ===> btop++ v.1.2.13
2022/12/26 (14:16:34) | ERROR: Failed to get size of terminal!

2022/12/28 (18:53:37) | ===> btop++ v.1.2.13
2022/12/28 (18:53:37) | WARNING: Failed to join _runner thread on exit!
